TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
101,72524579,43.0252206,-76.1317983,4,139.1252353,1,1,-1
101,1424164685,43.0344554,-76.1397389,4,131.8577832,1,1,-1
102,72524579,43.0250591,-76.1317815,4,138.5073865,8,1,-1
102,757675095,43.0678438,-76.161731,4,125.8342718,7,1,-1
102,923988192,43.0495229,-76.233922,4,134.486153,9,1,-1
102,1737904745,43.0640692,-76.166075,4,123.1452331,7,1,-1
102,17496181,43.0372252,-76.1304999,4,129.0077147,1,1,-1
102,998966060,43.0442903,-76.2434556,4,999,-1,1,-1
103,757675095,43.0677368,-76.161565,4,126.05471,7,1,-1
103,1691499641,43.0795914,-76.1688606,4,131.0435723,7,1,-1
103,1599347416,43.0752779,-76.1758549,4,125.4809576,7,1,-1
103,1947862555,43.02632,-76.1343657,4,138.3140278,1,2,1
103,998966060,43.0442621,-76.243238,4,999,-1,1,-1
103,1708706542,43.0268819,-76.0556935,4,999,-1,1,-1
103,17496181,43.0371126,-76.130341,4,129.2062201,1,1,-1
104,2008179199,43.0359315,-76.1310621,4,130.3460599,1,1,-1
104,528871576,43.0709571,-76.1826644,4,126.5669835,7,1,-1
104,1707145787,43.0726755,-76.1695886,4,119.5565229,7,1,-1
104,757675095,43.0676298,-76.1613991,4,126.273389,7,1,-1
104,1053069655,43.0508964,-76.2293196,4,131.475473,9,1,-1
104,203254937,43.080384,-76.1823566,4,133.9201994,7,1,-1
105,1691499641,43.0795311,-76.1684262,4,131.0560878,7,1,-1
105,1509440266,43.0315051,-76.1245972,4,136.1181615,1,1,-1
105,373889326,43.0264175,-76.0341791,4,999,-1,1,-1
105,1947862555,43.025996,-76.1343723,4,138.5246867,1,2,1
105,72524579,43.0245744,-76.1317311,4,138.3301673,8,1,-1
105,60575480,43.0442924,-76.2255696,4,136.3206437,9,1,-1
105,1599347416,43.074957,-76.1759163,4,124.9743317,7,1,-1
106,234184799,43.0258781,-76.1170339,4,132.6006315,8,1,-1
106,1053069655,43.0508155,-76.2288917,4,131.3833139,9,1,-1
106,72524579,43.0244128,-76.1317144,4,138.2717884,8,1,-1
106,1947862555,43.025834,-76.1343756,4,138.6287584,1,2,1
106,203254937,43.0801275,-76.1820864,4,133.6200362,7,1,-1
